seat_id,floor,zone,x,y,node
2A1_001,2,A1,3626895.175841454,-2657998.433996045,2A1_3
2A1_002,2,A1,3627602.589445336,-2658000.222112217,2A1_3
2A1_003,2,A1,3628310.003049217,-2658002.010228389,2A1_3
2A1_004,2,A1,3629017.4166530985,-2658003.798344561,2A1_3
2A1_005,2,A1,3629724.83025698,-2658005.586460733,2A1_3
2A1_006,2,A1,3630432.2438608618,-2658007.374576905,2A1_3
2A1_007,2,A1,3631139.657464743,-2658009.1626930768,2A1_4
2A1_008,2,A1,3631847.071068625,-2658010.9508092487,2A1_4
2A1_009,2,A1,3632554.484672506,-2658012.73892542,2A1_4
2A1_010,2,A1,3633261.8982763872,-2658014.527041592,2A1_4
2A1_011,2,A1,3633969.311880269,-2658016.315157764,2A1_4
2A1_012,2,A1,3634676.72548415,-2658018.103273936,2A1_4
2A1_013,2,A1,3626896.82958305,-2657344.181592831,2A1_3
2A1_014,2,A1,3627604.243186932,-2657345.969709003,2A1_3
2A1_015,2,A1,3628311.656790813,-2657347.757825175,2A1_3
2A1_016,2,A1,3629019.070394695,-2657349.545941347,2A1_3
2A1_017,2,A1,3629726.483998576,-2657351.3340575187,2A1_3
2A1_018,2,A1,3630433.897602458,-2657353.1221736907,2A1_3
2A1_019,2,A1,3631141.3112063394,-2657354.9102898627,2A1_4
2A1_020,2,A1,3631848.7248102208,-2657356.6984060346,2A1_4
2A1_021,2,A1,3632556.138414102,-2657358.486522206,2A1_4
2A1_022,2,A1,3633263.552017984,-2657360.274638378,2A1_4
2A1_023,2,A1,3633970.965621866,-2657362.06275455,2A1_4
2A1_024,2,A1,3634678.379225746,-2657363.850870722,2A1_4
2A1_025,2,A1,3626898.483324647,-2656689.929189617,2A1_3
2A1_026,2,A1,3627605.896928529,-2656691.717305789,2A1_3
2A1_027,2,A1,3628313.31053241,-2656693.5054219607,2A1_3
2A1_028,2,A1,3629020.724136292,-2656695.2935381327,2A1_3
2A1_029,2,A1,3629728.137740173,-2656697.0816543046,2A1_3
2A1_030,2,A1,3630435.551344055,-2656698.8697704766,2A1_3
2A1_031,2,A1,3631142.964947936,-2656700.657886649,2A1_4
2A1_032,2,A1,3631850.3785518175,-2656702.4460028205,2A1_4
2A1_033,2,A1,3632557.792155699,-2656704.234118992,2A1_4
2A1_034,2,A1,3633265.20575958,-2656706.022235164,2A1_4
2A1_035,2,A1,3633972.619363462,-2656707.810351336,2A1_4
2A1_036,2,A1,3634680.032967343,-2656709.598467508,2A1_4
2A1_037,2,A1,3627607.550670125,-2656037.464902574,2A1_3
2A1_038,2,A1,3628314.9642740064,-2656039.253018746,2A1_3
2A1_039,2,A1,3629022.377877888,-2656041.041134918,2A1_3
2A1_040,2,A1,3629729.791481769,-2656042.82925109,2A1_3
2A1_041,2,A1,3630437.205085651,-2656044.617367262,2A1_3
2A1_042,2,A1,3631144.618689533,-2656046.405483434,2A1_1
2A1_043,2,A1,3631852.0322934138,-2656048.193599606,2A1_4
2A1_044,2,A1,3632559.445897295,-2656049.9817157774,2A1_4
2A1_045,2,A1,3633266.859501177,-2656051.7698319494,2A1_4
2A1_046,2,A1,3633974.2731050574,-2656053.5579481213,2A1_4
2A1_047,2,A1,3634681.6867089393,-2656055.3460642933,2A1_4
2A1_048,2,A1,3627609.204411722,-2655383.21249936,2A1_1
2A1_049,2,A1,3628316.618015603,-2655385.000615532,2A1_1
2A1_050,2,A1,3629024.031619485,-2655386.788731704,2A1_1
2A1_051,2,A1,3629731.445223366,-2655388.576847876,2A1_1
2A1_052,2,A1,3630438.858827248,-2655390.364964048,2A1_1
2A1_053,2,A1,3631146.272431129,-2655392.15308022,2A1_1
2A1_054,2,A1,3631853.6860350105,-2655393.941196392,2A1_2
2A1_055,2,A1,3632561.099638892,-2655395.729312564,2A1_2
2A1_056,2,A1,3633268.513242773,-2655397.5174287357,2A1_2
2A1_057,2,A1,3633975.926846655,-2655399.305544907,2A1_2
2A1_058,2,A1,3634683.340450536,-2655401.093661079,2A1_2
2A1_059,2,A1,3627610.858153318,-2654728.960096145,2A1_1
2A1_060,2,A1,3628318.2717572,-2654730.748212317,2A1_1
2A1_061,2,A1,3629025.685361081,-2654732.5363284894,2A1_1
2A1_062,2,A1,3629733.098964962,-2654734.3244446614,2A1_1
2A1_063,2,A1,3630440.512568844,-2654736.1125608333,2A1_1
2A1_064,2,A1,3631147.926172725,-2654737.9006770053,2A1_2
2A1_065,2,A1,3631855.339776607,-2654739.6887931773,2A1_2
2A1_066,2,A1,3632562.753380488,-2654741.4769093487,2A1_2
2A1_067,2,A1,3633270.1669843695,-2654743.2650255207,2A1_2
2A1_068,2,A1,3633977.5805882514,-2654745.0531416927,2A1_2
2A1_069,2,A1,3634684.994192132,-2654746.8412578646,2A1_2
2A1_070,2,A1,3627612.511894915,-2654074.7076929314,2A1_1
2A1_071,2,A1,3628319.925498796,-2654076.495809104,2A1_1
2A1_072,2,A1,3629027.3391026775,-2654078.283925276,2A1_1
2A1_073,2,A1,3629734.752706559,-2654080.0720414477,2A1_1
2A1_074,2,A1,3630442.1663104407,-2654081.860157619,2A1_1
2A1_075,2,A1,3631149.579914322,-2654083.648273791,2A1_2
2A1_076,2,A1,3631856.993518204,-2654085.436389963,2A1_2
2A1_077,2,A1,3632564.407122085,-2654087.224506134,2A1_2
2A1_078,2,A1,3633271.8207259662,-2654089.0126223066,2A1_2
2A1_079,2,A1,3633979.234329848,-2654090.8007384785,2A1_2
2A1_080,2,A1,3634686.647933729,-2654092.5888546505,2A1_2
2A1_081,2,A1,3628321.579240393,-2653422.2434058893,2A1_1
2A1_082,2,A1,3629028.992844274,-2653424.031522061,2A1_1
2A1_083,2,A1,3629736.406448156,-2653425.819638233,2A1_1
2A1_084,2,A1,3630443.8200520375,-2653427.607754405,2A1_1
2A1_085,2,A1,3631151.233655919,-2653429.395870577,2A1_2
2A1_086,2,A1,3631858.6472598,-2653431.183986749,2A1_2
2A1_087,2,A1,3632566.0608636816,-2653432.9721029205,2A1_2
2A1_088,2,A1,3633273.474467563,-2653434.7602190925,2A1_2
2A1_089,2,A1,3633980.888071445,-2653436.5483352644,2A1_2
2A1_090,2,A1,3634688.3016753257,-2653438.3364514364,2A1_2
2A1_091,2,A1,3628323.232981989,-2652767.991002675,2A1_1
2A1_092,2,A1,3629030.646585871,-2652769.779118847,2A1_1
2E1_001,2,E1,3691158.216961233,-2657998.433996045,2E1_4
2E1_002,2,E1,3690450.803357351,-2658000.222112217,2E1_4
2E1_003,2,E1,3689743.3897534697,-2658002.010228389,2E1_4
2E1_004,2,E1,3689035.976149589,-2658003.798344561,2E1_4
2E1_005,2,E1,3688328.562545707,-2658005.586460733,2E1_4
2E1_006,2,E1,3687621.148941825,-2658007.374576905,2E1_4
2E1_007,2,E1,3686913.735337944,-2658009.1626930768,2E1_3
2E1_008,2,E1,3686206.3217340624,-2658010.9508092487,2E1_3
2E1_009,2,E1,3685498.908130181,-2658012.73892542,2E1_3
2E1_010,2,E1,3684791.4945263,-2658014.527041592,2E1_3
2E1_011,2,E1,3684084.080922418,-2658016.315157764,2E1_3
2E1_012,2,E1,3683376.667318537,-2658018.103273936,2E1_3
2E1_013,2,E1,3691156.5632196367,-2657344.181592831,2E1_4
2E1_014,2,E1,3690449.149615755,-2657345.969709003,2E1_4
2E1_015,2,E1,3689741.7360118735,-2657347.757825175,2E1_4
2E1_016,2,E1,3689034.322407992,-2657349.545941347,2E1_4
2E1_017,2,E1,3688326.908804111,-2657351.3340575187,2E1_4
2E1_018,2,E1,3687619.495200229,-2657353.1221736907,2E1_4
2E1_019,2,E1,3686912.081596348,-2657354.9102898627,2E1_3
2E1_020,2,E1,3686204.667992466,-2657356.6984060346,2E1_3
2E1_021,2,E1,3685497.2543885848,-2657358.486522206,2E1_3
2E1_022,2,E1,3684789.840784704,-2657360.274638378,2E1_3
2E1_023,2,E1,3684082.4271808215,-2657362.06275455,2E1_3
2E1_024,2,E1,3683375.0135769406,-2657363.850870722,2E1_3
